	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
114	132	Otu00132	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
115	137	Otu00137	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
116	187	Otu00187	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
117	265	Otu00265	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
118	289	Otu00289	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
119	341	Otu00341	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
120	352	Otu00352	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
121	363	Otu00363	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
122	374	Otu00374	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
123	361	Otu00361	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales	Lobosphaeropsis	Lobosphaeropsis_pyrenoidosa
124	61	Otu00061	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniaceae	Microthamnion	Microthamnion_kuetzingianum
125	202	Otu00202	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniaceae	Microthamnion	Microthamnion_kuetzingianum
126	333	Otu00333	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniaceae	Microthamnion	Microthamnion_kuetzingianum
127	3	Otu00003	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Pseudococcomyxa	Pseudococcomyxa_sp
128	71	Otu00071	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Pseudococcomyxa	Pseudococcomyxa_sp
129	232	Otu00232	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Pseudococcomyxa	Pseudococcomyxa_sp
130	253	Otu00253	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Pseudococcomyxa	Pseudococcomyxa_sp
131	281	Otu00281	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Pseudococcomyxa	Pseudococcomyxa_sp
