;1A_Sv;1B_Sv;1C_Sv;1D_Sv;1E_Sv;2A_Sv;2B_Sv;2C_Sv;2D_Sv;2E_Sv;3A_Sv;3B_Sv;3C_Sv;3D_Sv;3E_Sv;4A_Sv;4B_Sv;4C_Sv;4D_Sv;4E_Sv;5A_Sv;5B_Sv;5C_Sv;5D_Sv;5E_Sv;6A_Sv;6B_Sv;6C_Sv;6D_Sv;6E_Sv;7A_Sv;7B_Sv;7C_Sv;7D_Sv;7E_Sv;8A_Sv;8B_Sv;8C_Sv;8D_Sv;8E_Sv;9A_Sv;9B_Sv;9C_Sv;9D_Sv;9E_Sv;BIO1_1_An;BIO1_2_An;BIO1_3_An;BIO1_4_An;BIO1_5_An;BIO2_1_An;BIO2_2_An;BIO2_3_An;BIO2_4_An;BIO2_5_An;BIO3_1_An;BIO3_2_An;BIO3_3_An;BIO3_4_An;BIO3_5_An;BIO4_1_An;BIO4_2_An;BIO4_3_An;BIO4_4_An;BIO4_5_An;C2_1_An;C2_2_An;C2_3_An;C2_4_An;C2_5_An;C3_1_An;C3_2_An;C3_3_An;C3_4_An;C3_5_An;C3_6_An;C4_1_An;C4_2_An;C4_3_An;C4_4_An;C4_5_An;K5_1_An;K5_2_An;K5_3_An;K5_4_An;K5_5_An;K6_1_An;K6_2_An;K6_3_An;K6_4_An;K6_5_An;K7_1_An;K7_2_An;K7_3_An;K7_4_An;K7_5_An;K9_1_An;K9_2_An;K9_3_An;K9_4_An;K9_5_An;Me1_1_An;Me1_2_An;Me1_3_An;Me1_4_An;Me1_5_An;Me2_1_An;Me2_2_An;Me2_3_An;Me2_4_An;Me2_5_An;Me3_1_An;Me3_2_An;Me3_3_An;Me3_4_An;Me3_5_An
176_Chloromonas_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;21;0;29;0;52;0;111;0;21;0;0;0;787;237;320;694;287;48;59;76;142;39;99;233;124;39;41;0;25;22;0;32;1122;661;35;0;1234;0;0;0;0;0;36;0;159;0;0;0;0;0;0;0
177_Chloromonas_palmelloides;0;146;0;34;33;1034;73;76;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;452;34;0;42;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
178_Chloromonas_sp;0;0;0;0;0;0;0;0;0;0;28;88;85;87;184;71;48;58;58;76;0;0;0;0;0;0;928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0
179_Chloromonas_augustae;0;0;0;0;21;0;0;0;0;0;0;462;0;0;44;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;28;0;0;0;38;0;0;189;0;29;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0
180_Chloromonas_actinochloris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;368;77;42;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;81;26;79;0;0;0;0;0
181_Chloromonas_pichinchae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;0;0;0;0;98;0;0;0
182_Chlorosarcina_stigmatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;22;0;0;0;0;0;0;135;0;0;0;0;0;0;0;47;0;121;139;104;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;204;0;0;0;0;0;0;0
183_Coccomyxa_sp;361;675;69;164;413;4123;2179;357;612;1287;0;0;0;0;0;0;33;28;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;74;136;0;0;71;84;345;720;77;1413;216;0;0;0;0;0;0;0;36;65;0;0;0;0;0;0;46;23;0;0;0;409;0;163;82;162;0;54;0;176;0;63;0;155;23;47;30;0;0;0;0;0;0;0;28;32;26;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;41;37;0;0;170;43;0;86
184_Coccomyxa_sp;0;0;0;0;0;0;0;0;0;0;111;43;0;0;0;21;0;74;22;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;61;0;0;0;26;0;62;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;85;0;23;0;21;22;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0
185_Coccomyxa_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;65;0;66;0;0;23;46;35;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
186_Coccomyxa_sp;0;0;0;0;0;0;0;0;0;0;92;28;0;0;0;0;0;27;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;22;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187_Ettlia_pseudoalveolaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;34;33;224;454;0;127;66;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188_Heterochlamydomonas_lobata;0;0;0;0;0;0;0;0;0;0;220;62;0;28;623;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;50;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189_Planophila_sp;0;0;0;0;0;0;32;0;87;101;116;129;99;99;303;538;40;407;199;473;0;0;0;0;0;0;88;0;37;0;0;0;0;0;225;44;0;53;153;0;0;0;0;0;215;0;0;0;0;0;0;444;0;0;0;0;0;0;0;411;0;42;99;0;47;36;23;28;385;287;0;82;42;0;0;0;26;0;329;94;62;437;509;216;938;118;112;488;230;846;239;46;98;57;44;111;3684;3383;92;8130;1997;66;0;32;0;0;57;0;0;26;0;0;25;0;0;0
190_Scotinosphaera_gibberosa;0;28;0;0;0;0;0;0;25;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;40;0;0;0;0;0;0;0;0;55;0;39;0;0;0;0;28;0;26;0;0;0;0;0;0;24;0;35;0;0;0;0;0;0;0;7724;5328;3065;5616;950;41;95;129;143;104;123;28;0;0;0;36;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;95;25;52
191_Scotinosphaera_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;97;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
